room_id,price,included,area,city,street,details,time of extraction
2208132, 604,Excl. vaste lasten,10 m², Eindhoven,Leenderweg,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel C', '1 huisgenoten', 'Vrouwelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937066
2208136, 695,Incl. vaste lasten,16 m², Eindhoven,de Koppele,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '1 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937069
2208177, 650,Incl. vaste lasten,10 m², Amsterdam,Claus van Amsbergstraat,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Privé toilet', 'Internet beschikbaar', 'Onbekend energielabel', '1 huisgenoten', 'Geen huisdieren toegestaan']",1710937070
2208160, 410,Incl. vaste lasten,17 m², Almere,Markt,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '3 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937071
2208147, 900,Excl. vaste lasten,18 m², Rotterdam,Wilgenplaslaan,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '1 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937072
2208139, 413,Incl. vaste lasten,9 m², Delft,Foulkeslaan,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '5 huisgenoten', 'Geen huisdieren toegestaan']",1710937074
2208122, 505,Incl. vaste lasten,25 m², Dordrecht,Mauritsweg,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '2 huisgenoten', 'Vrouwelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937077
2208124, 650,Incl. vaste lasten,15 m², Delft,Voorstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', 'Meer dan 8 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937079
2208118, 533,Excl. vaste lasten,32 m², Utrecht,Nieuwegracht,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', 'Meer dan 8 huisgenoten', 'Vrouwelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937080
2203234, 320,Incl. vaste lasten,7 m², Enschede,Bultsweg,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '4 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937081
2210296, 290,Incl. vaste lasten,10 m², Heerlen,Meezenbroekerweg,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet tegen extra kosten', 'Onbekend energielabel', '5 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937082
2210068, 800,Excl. vaste lasten,50 m², Huizen,Want,"['Privé woonkamer', 'Privé keuken', 'Privé badkamer', 'Privé toilet', 'Internet beschikbaar', 'Onbekend energielabel', 'Geen huisdieren toegestaan']",1710937083
2204708, 425,Incl. vaste lasten,20 m², Enschede,Haarlebrink,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', '3 huisgenoten', 'Vrouwelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937087
2209470, 400,Incl. vaste lasten,17 m², Hengelo,J.C. Bloemstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', '3 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937089
2203897, 1.000,Incl. vaste lasten,25 m², Utrecht,Stanleylaan,"['Privé woonkamer', 'Privé keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '4 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937090
2209178, 652,Incl. vaste lasten,23 m², Heemskerk,Kerklaan,"['Privé woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', 'Meer dan 8 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937091
2098922, 800,Incl. vaste lasten,12 m², Almere,Presidentstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', '3 huisgenoten', 'Gemixte huisgenoten', 'Huisdieren toegestaan']",1710937092
2204753, 550,Incl. vaste lasten,12 m², Winschoten,Vossenkamp,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '2 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937093
2208102, 560,Excl. vaste lasten,13 m², Den Haag,Schlegelstraat,"['Privé woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '1 huisgenoten', 'Vrouwelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937094
2208090, 445,Incl. vaste lasten,16 m², Groningen,IJsselstraat,['Geen huisdieren toegestaan'],1710937096
2208092, 650,Incl. vaste lasten,15 m², Delft,Ruys de Beerenbrouckstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', 'Meer dan 8 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937098
2208080, 400,Excl. vaste lasten,25 m², Breda,Haagweg,['Geen huisdieren toegestaan'],1710937098
2208085, 1.000,Incl. vaste lasten,10 m², Amsterdam,IJselstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', 'Geen huisdieren toegestaan']",1710937100
2204388, 600,Incl. vaste lasten,18 m², Beilen,Speenkruid,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', '3 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937101
2204749, 550,Incl. vaste lasten,12 m², Beilen,Speenkruid,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', '3 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937103
2208088, 569,Incl. vaste lasten,16 m², Rotterdam,Vierambachtsstraat,"['Privé woonkamer', 'Gedeelde keuken', 'Privé badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel D', '1 huisgenoten', 'Vrouwelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937104
2208081, 420,Incl. vaste lasten,17 m², Eindhoven,St Adrianusstraat,['Geen huisdieren toegestaan'],1710937106
2208069, 1.000,Excl. vaste lasten,25 m², Bosch en Duin,Dennenweg,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '3 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937106
2208060, 900,Excl. vaste lasten,15 m², Rotterdam,Bredenoord,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel E', '1 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937108
2208064, 360,Incl. vaste lasten,12 m², Tilburg,Tournooistraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', 'Meer dan 8 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937109
2208036, 597,Incl. vaste lasten,13 m², Groningen,Antaresstraat,"['Geen woonkamer', 'Gedeelde keuken', 'Privé badkamer', 'Privé toilet', 'Internet beschikbaar', 'Onbekend energielabel', 'Geen huisdieren toegestaan']",1710937111
2208037, 473,Incl. vaste lasten,22 m², Den Haag,Hobbemastraat,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', 'Geen huisdieren toegestaan']",1710937113
2208042, 425,Excl. vaste lasten,11 m², Eindhoven,Chopinlaan,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '5 huisgenoten', 'Vrouwelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937114
2208040, 295,Incl. vaste lasten,18 m², Tilburg,Conradhof,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '5 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937115
2208022, 500,Incl. vaste lasten,12 m², Amersfoort,Paladijnenweg,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel D', '4 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937116
2203234, 320,Incl. vaste lasten,7 m², Enschede,Bultsweg,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '4 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937116
2210296, 290,Incl. vaste lasten,10 m², Heerlen,Meezenbroekerweg,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet tegen extra kosten', 'Onbekend energielabel', '5 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937117
2210068, 800,Excl. vaste lasten,50 m², Huizen,Want,"['Privé woonkamer', 'Privé keuken', 'Privé badkamer', 'Privé toilet', 'Internet beschikbaar', 'Onbekend energielabel', 'Geen huisdieren toegestaan']",1710937118
2204708, 425,Incl. vaste lasten,20 m², Enschede,Haarlebrink,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', '3 huisgenoten', 'Vrouwelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937119
2209470, 400,Incl. vaste lasten,17 m², Hengelo,J.C. Bloemstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', '3 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710937120
2203897, 1.000,Incl. vaste lasten,25 m², Utrecht,Stanleylaan,"['Privé woonkamer', 'Privé keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '4 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937122
2209178, 652,Incl. vaste lasten,23 m², Heemskerk,Kerklaan,"['Privé woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', 'Meer dan 8 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937123
2098922, 800,Incl. vaste lasten,12 m², Almere,Presidentstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', '3 huisgenoten', 'Gemixte huisgenoten', 'Huisdieren toegestaan']",1710937127
2208019, 700,Excl. vaste lasten,20 m², Amsterdam,Scheepsbouwweg,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel A', '3 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710937127
2208005, 490,Incl. vaste lasten,15 m², Leeuwarden,Nieuwe Oosterstraat,"['Privé woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Onbekend energielabel', '4 huisgenoten', 'Geen huisdieren toegestaan']",1710937129
